batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.558,0.4773730681043906,0.5513349423965818,0.45790816326530603,False
3,0.384,0.34770666077095624,0.4044213292905452,0.2523908927617845,False
4,0.64,0.5860810970458475,0.6685625356756174,0.5590396864282214,False
5,0.59,0.5392973308586692,0.5867141654998256,0.503848201752263,False
6,0.686,0.6399432030042057,0.652553684818108,0.6210201076592561,False
7,0.46,0.40021482826125493,0.43246501998403875,0.34507349730752435,False
8,0.57,0.5690028241204607,0.6052773129714221,0.4800986603472458,False
9,0.406,0.3665507825052344,0.37166886445120806,0.2879883393107152,False
10,0.626,0.6183406436426057,0.6210852268673873,0.5511411097135943,False
11,0.486,0.4786462905985928,0.48300702164797643,0.3833943540995878,False
12,0.678,0.6364701306032673,0.6423803705911391,0.6139514585920978,False
13,0.246,0.2015731827411105,0.29639015738360636,0.10340563165905636,False
14,0.722,0.736299348587694,0.74227759751926,0.6658637781912413,False
15,0.626,0.5935954118456511,0.6331930188930494,0.5506406374655171,False
16,0.792,0.7834804039760271,0.8262273136910517,0.7508050912436743,False
17,0.57,0.6052201171454937,0.6476857007200574,0.48045545932570366,False
18,0.82,0.8272676214990046,0.8439868174350469,0.7837183147331084,False
19,0.594,0.6103780534422055,0.6972774298098253,0.5214205558122649,False
20,0.762,0.7558681384654723,0.7539210305843724,0.712829522090408,False
