batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.162,0.13825608095106226,0.13608382044851358,-0.01986174666536855,False
3,0.25,0.22756910053305246,0.26253419793638266,0.09391838016768528,False
4,0.264,0.23713892415750748,0.27159071127980117,0.10516717325227976,False
5,0.192,0.18621449499832923,0.18783217570533492,0.02868271103310638,False
6,0.266,0.2645995314926803,0.2898854692775054,0.11478810390988681,False
7,0.218,0.20904033917275489,0.20780326973561433,0.06617945594803076,False
8,0.226,0.21684789117260103,0.22294251715180372,0.06787417505660187,False
9,0.174,0.17265115311985935,0.1772429457008896,0.008788898435662551,False
10,0.208,0.2063022581626663,0.20708477145687007,0.04947529115820004,False
11,0.168,0.16811201819575808,0.1759293735549029,0.0019337533528785977,False
12,0.18,0.1786722924837566,0.18217829987109116,0.015691320798202235,False
13,0.144,0.14244500177190578,0.14425637518274195,-0.02530687338897475,False
14,0.184,0.18144064338029522,0.17940822931114195,0.020591581888625976,False
15,0.168,0.16353905065368698,0.16376751213278629,0.002024738271391824,False
16,0.186,0.17614627261335045,0.17918009998270948,0.02413994840169953,False
17,0.168,0.16573959886429232,0.16770224824211807,-0.0012322858903266454,False
18,0.204,0.20025531851285172,0.20156200009141187,0.043416397477311075,False
19,0.116,0.11295465780515618,0.11717566878760928,-0.05645585353028326,False
20,0.19,0.1796575332055539,0.17887486782223627,0.018162776490210586,False
