batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.858,0.8426948542503748,0.8782608695652175,0.8295727316370619,False
3,0.154,0.08188516395038134,0.4130654486076173,0.022620670533053056,True
4,0.834,0.8465843001404286,0.8864416364416364,0.7996475728389698,False
5,0.562,0.4692013594311495,0.46712149244526674,0.47461855867958935,False
6,0.894,0.8874689309489501,0.8990205700312085,0.8723937015457216,False
7,0.518,0.3822725914543048,0.34004890139335475,0.40736733389071955,False
8,0.778,0.7568192698440369,0.845511004559512,0.7313064317009997,False
9,0.462,0.3406751818699923,0.29057883019631653,0.35614510430928015,False
10,0.688,0.6716705963738127,0.6686879418028543,0.6254357910507967,False
11,0.5,0.43291878645785203,0.5633038844227444,0.4013581985191996,False
12,0.81,0.7917326017603618,0.8188733930211204,0.772225951855759,False
13,0.43,0.3615857050994418,0.3565958721797176,0.3145940954085019,False
14,0.644,0.5971156198358936,0.6027618179711933,0.5720804104181592,False
15,0.672,0.6103364709321296,0.7828303463702407,0.6089689177976367,False
16,0.806,0.814407184589306,0.8304423595922387,0.7671605104225677,False
17,0.638,0.6260522415666182,0.6087343172619656,0.5628188282578451,False
18,0.944,0.9407720327562393,0.9452892821192123,0.9326702960583267,False
19,0.538,0.48700673790679133,0.4206531140052565,0.4556765163297045,True
20,0.882,0.8768127258735671,0.8756143212664952,0.8574466028800618,False
