batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.92,0.918609500852637,0.9291831357048749,0.9032788470838572,False
3,0.452,0.4329921940478725,0.4465546279168515,0.33360896952598673,True
4,0.888,0.8913469695753492,0.9105107393979345,0.8644363213827495,False
5,0.572,0.47781573413255524,0.47895588809897144,0.48705656759348026,True
6,0.836,0.807482200972872,0.82408681622948,0.8026236610903839,False
7,0.494,0.4224192753422953,0.4493154993154993,0.3828515672643005,True
8,0.858,0.8563100954848634,0.8768957764986571,0.8294212334526584,False
9,0.398,0.3125809484931574,0.3107067383123631,0.2790902646050085,True
10,0.75,0.746436496058782,0.7553133280540445,0.6999404681888886,False
11,0.368,0.2958229583936908,0.40338855822368175,0.2432768983931608,True
12,0.788,0.8047867620210609,0.8962533951902297,0.7450476712750502,False
13,0.6,0.5445879283088585,0.5614573151736536,0.5195033586715229,True
14,0.754,0.7241224792364357,0.7921939081252806,0.7056796646183885,False
15,0.542,0.44437949777521024,0.5561236255613208,0.45224221896916295,True
16,0.73,0.6937345798449003,0.7710135178252361,0.6753059339644424,False
17,0.492,0.46105595376984687,0.6002729849128949,0.3860582036159721,True
18,0.854,0.865694905974812,0.8991916015343312,0.8239504553171786,False
19,0.322,0.2327538421972136,0.4272909695939151,0.21159123680171188,True
20,0.814,0.817576775037984,0.8338923158166761,0.7775183487555382,False
