@relation 'UnivariateSEA'
@attribute feature1 numeric
@attribute class {groupA,groupB}
@data
0.332853474784498,groupB
0.7479382813444624,groupA
1.1088217335425865,groupA
4.082850955300814,groupA
3.3436497265077425,groupB
8.512429683406786,groupB
6.284000163171535,groupA
2.476189990121238,groupB
0.10631563122931342,groupA
9.326626471787403,groupA
1.280626824925154,groupB
0.5792581081885018,groupA
7.9075514956328865,groupB
7.245872697160531,groupB
7.225993596953769,groupB
0.9731759479562752,groupA
1.9789454383609295,groupA
4.883570215029308,groupB
8.121491282368863,groupA
6.6130497166839355,groupB
9.891013801241787,groupB
6.296963837314902,groupA
9.187234682211539,groupB
6.474704570182054,groupA
9.411623271880602,groupB
5.842876062991244,groupB
3.1891871838539965,groupB
3.7405274743087014,groupA
9.507473394862076,groupB
9.058518230967383,groupB
6.301870989898455,groupB
5.520927190803022,groupA
9.845302784713196,groupB
5.3151652198033075,groupA
2.536745155935305,groupB
8.061258173767126,groupB
9.25800537938039,groupB
1.7441076473177264,groupB
8.06937965991702,groupB
3.1239016569024605,groupA
5.963124501804468,groupB
0.1608980319530473,groupA
3.507731034144237,groupA
5.16193935056564,groupB
6.359156929127353,groupB
3.4252439807016843,groupB
0.8079559340417708,groupB
0.2586084923849341,groupA
8.69947775161455,groupA
0.9735077622453536,groupA
0.18086090882622363,groupB
4.183424629877571,groupA
8.293918043324174,groupB
9.845885174857411,groupA
1.9276211512766028,groupB
0.7430951883804882,groupA
1.7723196872559732,groupB
3.191999966353528,groupA
5.1528607603202525,groupA
2.658559418965676,groupA
5.739679466240968,groupB
2.3616153911985505,groupB
4.15043083066637,groupA
5.097768443834603,groupB
5.4545105989818605,groupA
6.749937769192041,groupA
8.83480091471412,groupB
8.700107372607581,groupA
9.28522373448602,groupB
1.641866382770174,groupA
5.760239521864006,groupB
1.2492554295977976,groupA
6.1768753500950835,groupB
3.552500907040781,groupB
4.360966950153139,groupB
9.237193392532495,groupB
4.444502570898729,groupB
3.752059898755802,groupA
0.35706245594782415,groupA
6.407142517755652,groupA
8.370160521018969,groupB
8.645571599833994,groupB
6.5706521056465625,groupA
2.3053308793964336,groupB
3.508152418989571,groupB
3.8985723897331903,groupA
5.421145008556793,groupA
1.0922869650606215,groupA
5.705001879386646,groupB
2.200562699259639,groupA
7.322092402118782,groupB
7.889238643228068,groupB
2.7444102163488737,groupA
0.47293438686898615,groupA
3.2594356713962513,groupB
5.1332952390354585,groupA
0.5784773569265333,groupB
5.385977725434715,groupB
6.6340844787455815,groupB
5.499293597137185,groupB
9.369285078714512,groupB
9.072691248954138,groupB
0.6122317316238424,groupA
6.473144205524159,groupA
3.32276700432348,groupA
3.831444085258233,groupA
9.824660209942742,groupB
7.531609109392537,groupB
4.551553426175778,groupA
2.9048754700777923,groupB
4.34034810602985,groupA
6.840817612457731,groupB
6.175901725324819,groupA
7.712244050311341,groupB
4.92752004206268,groupA
5.518366581037394,groupB
6.501345128950922,groupB
2.3940455526457316,groupA
0.19323565525594555,groupA
3.743219940799384,groupA
1.5565287979435638,groupB
7.492115161089936,groupA
2.2157522501834115,groupA
1.6191673476346313,groupB
1.4117870621337159,groupA
2.9203699772849303,groupA
9.67605415720179,groupA
5.820516773350713,groupB
9.624080648742373,groupA
9.059373993981342,groupB
8.648695265911886,groupB
0.13581918597177056,groupB
9.681380851758453,groupB
5.404249326778569,groupA
6.488785309122265,groupB
8.38344682923091,groupB
6.482681853131636,groupB
1.3761697086701474,groupA
4.481628906406221,groupB
3.4521026977518696,groupA
0.44049076970643086,groupA
9.932480658975647,groupB
8.903044310069037,groupB
7.914037844991883,groupB
1.7015878579389698,groupA
3.832949236690065,groupA
7.1393072958136194,groupB
3.60671102104992,groupA
8.938519550450126,groupB
7.7869897807075645,groupA
7.772332630672214,groupB
8.461548473432007,groupB
2.07689674959173,groupB
9.259973398435102,groupB
8.753174046220352,groupB
4.701694715524374,groupB
8.819057189624548,groupB
2.0906687365298984,groupA
1.63904849515361,groupB
9.203353553394622,groupB
7.748732489654488,groupB
1.9949967697637505,groupA
8.498430644156311,groupB
2.530383603922349,groupA
4.718486386825522,groupB
1.8258730897988462,groupA
0.6066507291087275,groupA
0.9658758750460184,groupA
6.9150474218564275,groupB
8.540983212993808,groupB
9.040954520108787,groupA
6.17789644611901,groupB
9.969236392278543,groupB
8.209648094537926,groupB
9.287951197618405,groupB
0.2135588264828625,groupA
6.447648869325008,groupB
1.1699974824507031,groupA
8.015392009005339,groupB
1.9039957684253006,groupA
9.472073300438934,groupB
6.325770893239459,groupA
6.220586899327957,groupA
1.9142703139628858,groupA
7.718007366583191,groupB
2.3391797379047596,groupB
0.5045822961425339,groupA
2.3621776615231385,groupA
9.022525976252773,groupB
8.5172081894571,groupB
2.6583035359351537,groupA
7.7774089830172555,groupA
9.87984997477067,groupB
9.981973554166197,groupB
6.976790458706846,groupA
4.140534250430825,groupA
9.53474419149891,groupB
9.33360616361611,groupB
7.601757463233946,groupA
3.6363865821148558,groupA
6.732508777662951,groupB
0.622544615230517,groupA
3.0610646997136968,groupA
3.7290627092505204,groupB
7.701790050971278,groupA
4.806946212467866,groupA
8.325123227316352,groupB
9.210038514761488,groupB
8.103434515681782,groupA
8.8335928523793,groupB
2.9023504071985995,groupA
6.32473851361366,groupB
3.664567801655024,groupA
1.4945132678001816,groupA
6.484873288263968,groupA
5.127916499692965,groupB
2.440245919920332,groupA
7.817525625565656,groupB
6.636832138976968,groupA
3.3798046603605645,groupB
1.232300195465298,groupA
3.0818411840240145,groupA
9.164667434071301,groupB
5.942298694723177,groupB
3.99213685592445,groupB
6.838227232528129,groupB
4.764295140216094,groupB
3.4803815963083364,groupA
7.105660972495466,groupB
4.379313185405182,groupA
1.915381889980814,groupB
3.8751495496348634,groupA
5.587414967285529,groupB
6.865422960789857,groupB
7.868129902721294,groupB
7.011627945341878,groupB
2.3993797506080905,groupB
4.2746134236816395,groupA
6.991866502531632,groupB
6.261149599347727,groupB
6.57840233741741,groupB
6.115902716684328,groupB
9.244929434893143,groupB
8.122336876953964,groupB
2.54433274743576,groupA
0.6192393749061542,groupA
4.568115937143197,groupA
0.048306013371355316,groupA
5.026874968978498,groupA
2.1856368435616957,groupA
0.5544613997045122,groupB
7.745982134476783,groupB
0.369844313309593,groupA
1.1308012531381284,groupA
7.730106494432932,groupB
9.305546044098252,groupA
3.6426804363510157,groupB
7.164077776801037,groupB
6.587115978207128,groupB
8.866876190084623,groupB
1.825117286734459,groupA
5.183850857844654,groupA
3.5006313093957573,groupA
6.462085180629308,groupA
0.36511777374291454,groupA
6.506712514496451,groupB
4.6697715868411125,groupB
9.839240466848068,groupB
4.394423291789354,groupA
1.8404957683622625,groupB
2.0430484478920152,groupA
4.966254584921877,groupA
6.791120173145188,groupB
1.5141901579567063,groupB
7.092335542378441,groupA
3.3736286688221218,groupA
4.793880026345833,groupB
9.638073152109396,groupB
4.520928176774283,groupB
0.20186021648219588,groupA
0.9062373126176382,groupB
9.026121327433222,groupB
1.2360556455959115,groupA
7.799282878878209,groupB
5.008349057426803,groupB
3.5046709776706866,groupB
6.858170554232918,groupA
6.838037732274258,groupB
4.763857748225706,groupA
0.38490541269101786,groupB
1.82101837938915,groupA
3.392647310451026,groupB
4.135188850141491,groupA
3.7143013150362436,groupB
1.8492368355573618,groupB
4.313960842835614,groupB
2.885080929382504,groupB
4.859712856147562,groupA
2.8640836656305657,groupB
9.931400489323599,groupB
7.847304289254328,groupB
1.0220451497428018,groupA
5.711721113295356,groupB
7.87264439284776,groupB
3.216080303474974,groupA
0.5430089974555441,groupA
3.5498320988646004,groupA
2.190010629375939,groupA
7.571132843565831,groupB
